Periode,Tanggal,Bulan,Minggu,Indikator_Harga,Tahun,Bulan_Numerik,Minggu_Dalam_Bulan,Lag_1,Lag_2,Lag_3,Lag_4,MA_3,MA_7
7,2023-03-08,Maret,M2,-1.49,2023,3,2,-1.27,2.18,1.82,1.36,-0.19333333333333336,0.3128571428571429
8,2023-03-15,Maret,M3,-1.06,2023,3,3,-1.49,-1.27,2.18,1.82,-1.2733333333333334,0.3528571428571429
9,2023-03-22,Maret,M4,-0.83,2023,3,4,-1.06,-1.49,-1.27,2.18,-1.1266666666666667,0.10142857142857153
10,2023-03-29,Maret,M5,-0.853,2023,3,5,-0.83,-1.06,-1.49,-1.27,-0.9143333333333334,-0.21471428571428566
11,2023-04-01,April,M1,-1.786,2023,4,1,-0.853,-0.83,-1.06,-1.49,-1.1563333333333334,-0.7298571428571429
12,2023-04-08,April,M2,-1.786,2023,4,2,-1.786,-0.853,-0.83,-1.06,-1.4750000000000003,-1.2964285714285713
13,2023-04-22,April,M4,-1.786,2023,4,4,-1.786,-1.786,-0.853,-0.83,-1.7860000000000003,-1.3701428571428573
14,2023-05-01,Mei,M1,0.189,2023,5,1,-1.786,-1.786,-1.786,-0.853,-1.1276666666666668,-1.1302857142857143
15,2023-05-08,Mei,M2,0.508,2023,5,2,0.189,-1.786,-1.786,-1.786,-0.36300000000000016,-0.9062857142857143
16,2023-05-15,Mei,M3,0.718,2023,5,3,0.508,0.189,-1.786,-1.786,0.4716666666666665,-0.685142857142857
17,2023-05-22,Mei,M4,1.258,2023,5,4,0.718,0.508,0.189,-1.786,0.8279999999999998,-0.38357142857142856
18,2023-05-29,Mei,M5,1.536,2023,5,5,1.258,0.718,0.508,0.189,1.1706666666666665,0.091
19,2023-06-01,Juni,M1,1.655,2023,6,1,1.536,1.258,0.718,0.508,1.4829999999999999,0.5825714285714286
20,2023-06-08,Juni,M2,1.649,2023,6,2,1.655,1.536,1.258,0.718,1.6133333333333333,1.0732857142857144
21,2023-06-15,Juni,M3,1.644,2023,6,3,1.649,1.655,1.536,1.258,1.649333333333333,1.2811428571428571
22,2023-06-22,Juni,M4,1.071,2023,6,4,1.644,1.649,1.655,1.536,1.4546666666666663,1.3615714285714284
23,2023-07-01,Juli,M1,-0.02,2023,7,1,1.071,1.644,1.649,1.655,0.8983333333333331,1.256142857142857
24,2023-07-08,Juli,M2,0.115,2023,7,2,-0.02,1.071,1.644,1.649,0.3886666666666665,1.092857142857143
25,2023-07-15,Juli,M3,0.13,2023,7,3,0.115,-0.02,1.071,1.644,0.07499999999999986,0.892
26,2023-07-22,Juli,M4,0.093,2023,7,4,0.13,0.115,-0.02,1.071,0.11266666666666651,0.6688571428571428
27,2023-08-01,Agustus,M1,-0.03,2023,8,1,0.093,0.13,0.115,-0.02,0.06433333333333319,0.42899999999999994
28,2023-08-08,Agustus,M2,-0.737,2023,8,2,-0.03,0.093,0.13,0.115,-0.2246666666666668,0.08885714285714286
29,2023-08-15,Agustus,M3,-0.888,2023,8,3,-0.737,-0.03,0.093,0.13,-0.5516666666666669,-0.191
30,2023-08-22,Agustus,M4,-0.9,2023,8,4,-0.888,-0.737,-0.03,0.093,-0.8416666666666668,-0.3167142857142857
31,2023-09-01,September,M1,-0.548,2023,9,1,-0.9,-0.888,-0.737,-0.03,-0.778666666666667,-0.4114285714285715
32,2023-09-08,September,M2,-0.6,2023,9,2,-0.548,-0.9,-0.888,-0.737,-0.682666666666667,-0.5157142857142858
33,2023-09-15,September,M3,-0.404,2023,9,3,-0.6,-0.548,-0.9,-0.888,-0.5173333333333335,-0.5867142857142857
34,2023-09-22,September,M4,-0.37,2023,9,4,-0.404,-0.6,-0.548,-0.9,-0.4580000000000002,-0.6352857142857143
35,2023-10-01,Oktober,M1,0.101,2023,10,1,-0.37,-0.404,-0.6,-0.548,-0.22433333333333352,-0.5155714285714286
36,2023-10-08,Oktober,M2,0.221,2023,10,2,0.101,-0.37,-0.404,-0.6,-0.01600000000000018,-0.3571428571428572
37,2023-10-15,Oktober,M3,0.323,2023,10,3,0.221,0.101,-0.37,-0.404,0.21499999999999983,-0.1824285714285714
38,2023-10-22,Oktober,M4,0.363,2023,10,4,0.323,0.221,0.101,-0.37,0.3023333333333332,-0.05228571428571428
39,2023-11-01,November,M1,0.672,2023,11,1,0.363,0.323,0.221,0.101,0.45266666666666655,0.12942857142857142
